State,Value,Timestamp,Datetime,Formatted Date
PUNJAB,4676,1739309595.3860881,2025-02-12 03:03:15.386088,2025-02-12 03:03:15
RAJASTHAN,10340,1739309595.3860881,2025-02-12 03:03:15.386088,2025-02-12 03:03:15
UTTARAKHAND,1770,1739309595.3860881,2025-02-12 03:03:15.386088,2025-02-12 03:03:15
UTTAR-PRADESH,11959,1739309595.3860881,2025-02-12 03:03:15.386088,2025-02-12 03:03:15
CHANDIGARH,93,1739310537.8126807,2025-02-12 03:18:57.812681,2025-02-12 03:18:57
HARYANA,5623,1739310537.8126807,2025-02-12 03:18:57.812681,2025-02-12 03:18:57
HIMACHAL,1079,1739310537.8126807,2025-02-12 03:18:57.812681,2025-02-12 03:18:57
J & K,2129,1739310537.8126807,2025-02-12 03:18:57.812681,2025-02-12 03:18:57
PUNJAB,4628,1739310537.8126807,2025-02-12 03:18:57.812681,2025-02-12 03:18:57
RAJASTHAN,10331,1739310537.8126807,2025-02-12 03:18:57.812681,2025-02-12 03:18:57
UTTARAKHAND,1778,1739310537.8126807,2025-02-12 03:18:57.812681,2025-02-12 03:18:57
UTTAR-PRADESH,11901,1739310537.8126807,2025-02-12 03:18:57.812681,2025-02-12 03:18:57
CHANDIGARH,93,1739311396.8032072,2025-02-12 03:33:16.803207,2025-02-12 03:33:16
HARYANA,5672,1739311396.8032072,2025-02-12 03:33:16.803207,2025-02-12 03:33:16
HIMACHAL,1082,1739311396.8032072,2025-02-12 03:33:16.803207,2025-02-12 03:33:16
J & K,2129,1739311396.8032072,2025-02-12 03:33:16.803207,2025-02-12 03:33:16
PUNJAB,4680,1739311396.8032072,2025-02-12 03:33:16.803207,2025-02-12 03:33:16
RAJASTHAN,10345,1739311396.8032072,2025-02-12 03:33:16.803207,2025-02-12 03:33:16
UTTARAKHAND,1790,1739311396.8032072,2025-02-12 03:33:16.803207,2025-02-12 03:33:16
UTTAR-PRADESH,11978,1739311396.8032072,2025-02-12 03:33:16.803207,2025-02-12 03:33:16
CHANDIGARH,93,1739312338.9940991,2025-02-12 03:48:58.994099,2025-02-12 03:48:58
HARYANA,5662,1739312338.9940991,2025-02-12 03:48:58.994099,2025-02-12 03:48:58
HIMACHAL,1103,1739312338.9940991,2025-02-12 03:48:58.994099,2025-02-12 03:48:58
J & K,2168,1739312338.9940991,2025-02-12 03:48:58.994099,2025-02-12 03:48:58
PUNJAB,4696,1739312338.9940991,2025-02-12 03:48:58.994099,2025-02-12 03:48:58
RAJASTHAN,10278,1739312338.9940991,2025-02-12 03:48:58.994099,2025-02-12 03:48:58
UTTARAKHAND,1808,1739312338.9940991,2025-02-12 03:48:58.994099,2025-02-12 03:48:58
UTTAR-PRADESH,12025,1739312338.9940991,2025-02-12 03:48:58.994099,2025-02-12 03:48:58
CHANDIGARH,94,1739313198.59466,2025-02-12 04:03:18.594660,2025-02-12 04:03:18
HARYANA,5682,1739313198.59466,2025-02-12 04:03:18.594660,2025-02-12 04:03:18
HIMACHAL,1096,1739313198.59466,2025-02-12 04:03:18.594660,2025-02-12 04:03:18
J & K,2154,1739313198.59466,2025-02-12 04:03:18.594660,2025-02-12 04:03:18
